sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.971046861546844
6.9,3.1,5.1,2.3,virginica,0.9686395669319344
5.1,2.5,3.0,1.1,versicolor,0.9525648251996354
4.4,2.9,,0.2,setosa,0.6420077801534563
5.9,3.0,5.1,1.8,virginica,0.7695328307423825
5.5,3.5,1.3,0.2,setosa,0.9597340224288075
5.6,,3.6,1.3,versicolor,0.93859265341439
6.5,3.0,5.2,2.0,virginica,0.952248476855977
5.3,3.7,1.5,0.2,setosa,0.9647246424392674
5.1,3.4,1.5,,setosa,0.817042680578169
6.1,2.8,4.0,1.3,versicolor,0.9800802771060296
5.5,2.4,3.7,1.0,versicolor,0.9801406391159511
7.7,3.0,6.1,2.3,virginica,0.9635175213160542
6.9,3.1,4.9,1.5,versicolor,0.7626753812677455
6.0,2.2,5.0,1.5,versicolor,0.6030233129139454
